UMLS_pt,UMLS_pt_UI,pt
Conjunctival edema,C0151601,Chronic myeloid leukaemia transformation
Lordosis,C0024003,Conjunctival oedema
Viremia,C0042749,Lordosis
stage IV pancreatic cancer,C0854775,Viraemia
Benign bone neoplasm,C0684516,Pancreatic carcinoma stage IV
Dilatation and Curettage,C0012358,Benign bone neoplasm
Fracture of scapula,C0159667,Uterine dilation and curettage
Hydrops of gallbladder,C0152445,Scapula fracture
Malabsorption due to intolerance to cow's milk protein,C0341296,Hydrocholecystis
Ectopic pregnancy with contraceptive device,C3805012,Cow's milk intolerance
Chronic osteomyelitis,C0008707,Ectopic pregnancy with contraceptive device
Lichen Sclerosus et Atrophicus,C0023652,Osteomyelitis chronic
Lip haemorrhage,C0849835,Lichen sclerosus
Biliary Tract Surgical Procedures,C0005427,Lip haemorrhage
Hepatic artery stenosis,C0920186,Biliary tract operation
Enzyme level increased,C3267078,Hepatic artery stenosis
Product package associated injury,C3495897,Enzyme level increased
Hyperpyrexia,C0392676,Product package associated injury
Blood growth hormone abnormal,C0853604,Hyperpyrexia
Abscess bacterial,C0549483,Blood growth hormone abnormal
Hepatocellular jaundice,C1262535,Abscess bacterial
Spider Veins,C1138421,Jaundice hepatocellular
Respiratory Syncytial Virus Infections,C0035235,Spider vein
Crushing injury of face,C0273429,Respiratory syncytial virus infection
Arthrocentesis,C0204854,Face crushing
Keratoplasty,C0010042,Aspiration joint
Patient-device incompatibility,C1881640,Corneal transplant
Angioplasty renal artery,C1282893,Patient-device incompatibility
Renal artery stent placement,C1609503,Renal artery angioplasty
Vena cava filter insertion,C0877093,Renal artery stent placement
Medical device pain,C1142176,Vena cava filter insertion
Anticonvulsant drug level decreased,C1142503,Medical device pain
Antipsychotic drug level decreased,C3495711,Anticonvulsant drug level decreased
Stage III Diffuse Large B-Cell Lymphoma,C0855115,Antipsychotic drug level decreased
Radiation therapy (procedure),C1522449,Diffuse large B-cell lymphoma stage III
"Carcinoma, Signet Ring Cell",C0206696,Radiotherapy
Wound drainage procedure,C0920263,Signet-ring cell carcinoma
Hypertrophic Cardiomyopathy,C0007194,Wound drainage
Proctitis infectious,C2938900,Hypertrophic cardiomyopathy
Dysphoric mood,C0233477,Proctitis infectious
Perforation of ileum,C0559938,Dysphoria
Umbilical erythema,C1096354,Ileal perforation
Disease complication,C0544688,Umbilical erythema
Hypocholesterolemia,C0151718,Disease complication
Anti-erythropoietin antibody positive,C0877020,Hypocholesterolaemia
Neutralising antibodies positive,C1609515,Anti-erythropoietin antibody positive
Anticoagulation drug level below therapeutic,C1168145,Neutralising antibodies positive
Implantable defibrillator insertion,C0877213,Anticoagulation drug level below therapeutic
Tumour rupture,C2938957,Implantable defibrillator insertion
Acute Promyelocytic Leukemia,C0023487,Tumour rupture
Metastatic non-small cell lung cancer,C0278987,Acute promyelocytic leukaemia
Progressive bulbar palsy,C0030442,Non-small cell lung cancer metastatic
Paralysis of tongue,C0235074,Progressive bulbar palsy
Winged scapula,C0240953,Tongue paralysis
Lipodystrophy acquired,C0877192,Winged scapula
Device defective,C1880265,Lipodystrophy acquired
Hypermobility syndrome,C0152093,Device defective
Brain Stem Infarctions,C0521542,Hypermobility syndrome
"Cholangitis, Sclerosing",C0008313,Brain stem stroke
Burning feet syndrome,C2239188,Cholangitis sclerosing
Myelitis,C0026975,Burning feet syndrome
Pneumococcal bacteraemia,C1142127,Myelitis
Vitreous Detachment,C0042907,Pneumococcal bacteraemia
Hypertrophy of submaxillary gland,C0399574,Vitreous detachment
Blastomycosis,C0005716,Submaxillary gland enlargement
Pneumonia caused by Pseudomonas,C0155860,Blastomycosis
Histamine level increased,C1168044,Pneumonia pseudomonal
"Mastocytosis, Systemic",C0221013,Histamine level increased
Cerebral ventricle dilatation,C0877064,Systemic mastocytosis
Antipsychotic drug level below therapeutic,C1168087,Cerebral ventricle dilatation
Traumatic injury of visual pathways,C0161400,Antipsychotic drug level below therapeutic
Morphea,C1527383,Optic pathway injury
Hemorrhagic Disorders,C0019087,Morphoea
Blood creatinine decreased,C0852810,Haemorrhagic diathesis
Moraxella Infections,C0852874,Blood creatinine decreased
Lipase abnormal,C1096303,Moraxella infection
Tubo-ovarian abscess,C0041343,Lipase abnormal
Brain Contusion,C0149844,Tubo-ovarian abscess
Sciatic Neuropathy,C0149940,Brain contusion
Pharyngeal Hemorrhage,C0576995,Sciatic nerve neuropathy
Peripheral demyelinating neuropathy,C0270922,Pharyngeal haemorrhage
Paralysis of diaphragm,C4551685,Demyelinating polyneuropathy
Granulomatous pneumonitis,C0264384,Diaphragmatic paralysis
Hypopituitarism,C0020635,Granulomatous pneumonitis
Hyperamylasemia,C0221773,Hypopituitarism
Biopsy liver abnormal,C0740307,Hyperamylasaemia
Hyporesponsive to stimuli,C3203644,Biopsy liver abnormal
Sepsis-Associated Encephalopathy,C0393642,Hyporesponsive to stimuli
Narrow QRS complex,C0429027,Septic encephalopathy
Nuchal Rigidity,C1320474,Electrocardiogram QRS complex shortened
Cardiac ablation,C0162563,Nuchal rigidity
Biopsy,C0005558,Cardiac ablation
Ulcer of rectum,C0400839,Biopsy
Cervical polyp,C0007855,Rectal ulcer
Lip discoloration,C0854373,Cervical polyp
Lichen amyloidosis,C5779561,Lip discolouration
Diverticulitis intestinal haemorrhagic,C0854239,Cutaneous amyloidosis
Metastatic malignant neoplasm to peritoneum,C0346989,Diverticulitis intestinal haemorrhagic
Application site swelling,C1096001,Metastases to peritoneum
Pharyngeal hypoaesthesia,C1167981,Application site swelling
Silent myocardial infarction,C0340324,Pharyngeal hypoaesthesia
Tubo-ovarian abscess,C0041343,Silent myocardial infarction
Pelvic adhesions,C0262591,Ovarian abscess
Pelvic Infection,C0030790,Pelvic adhesions
Application site ulcer,C0521492,Pelvic infection
Application site scab,C0948300,Application site ulcer
Application site papules,C0877127,Application site scab
"Leukemia, Plasma Cell",C0023484,Application site papules
Arteritis,C0003860,Plasma cell leukaemia
Respiratory tract infection bacterial,C1261959,Arteritis
Otitis Externa,C0029878,Respiratory tract infection bacterial
Influenza due to Influenza A virus subtype H1N1,C2076600,Otitis externa
Cataract operation complication,C1112375,H1N1 influenza
Febrile Convulsions,C0009952,Cataract operation complication
Exploratory operation,C1112230,Febrile convulsion
Ventricular Flutter,C0152173,Exploratory operation
Shortened QT interval,C0151879,Ventricular flutter
Operation on intestine,C0192573,Electrocardiogram QT shortened
Rectal fissure,C0240872,Intestinal operation
Emotional poverty,C0235113,Rectal fissure
Negativism,C0027562,Emotional poverty
Operation on trachea,C0189338,Negativism
Eastern Cooperative Oncology Group performance status worsened,C2242580,Tracheal operation
Aminoaciduria,C0238621,Eastern Cooperative Oncology Group performance status worsened
Acquired Fanconi syndrome,C0341702,Aminoaciduria
Sarcoma,C1261473,Fanconi syndrome acquired
Vulvar Diseases,C0042994,Sarcoma
Prurigo,C0033771,Vulval disorder
Acquired corneal dystrophy,C1608414,Prurigo
Herpes simplex pharyngitis,C3665881,Acquired corneal dystrophy
Macular retinal edema,C0271051,Herpes simplex pharyngitis
congenital renal arteriovenous malformation,C1533649,Macular oedema
Graft complications,C0274312,Renal arteriovenous malformation
Increased viscosity of nasal secretion,C3203744,Graft complication
Addison Disease,C0001403,Increased viscosity of nasal secretion
Pneumonia and influenza,C0155870,Addison's disease
Bowen's Disease,C0006079,Pneumonia influenzal
Femoral artery embolus,C0340600,Bowen's disease
Hypereosinophilic syndrome,C1540912,Femoral artery embolism
Esophageal diverticulum,C0014854,Hypereosinophilic syndrome
Monoarthritis,C0158026,Diverticulum oesophageal
Implant site infection,C1167854,Monarthritis
Implant site pain,C1504452,Implant site infection
Tongue eruption,C0948236,Implant site pain
Contracture scar of skin,C2919523,Tongue eruption
"Stress Disorders, Traumatic, Acute",C0236816,Skin scar contracture
Dacryocystitis,C0010930,Acute stress disorder
Babinski Reflex,C0034935,Dacryocystitis
Hemoglobinuria,C0019048,Extensor plantar response
Hepatorenal Syndrome,C0019212,Haemoglobinuria
Lymphadenitis,C0024205,Hepatorenal syndrome
Preterm premature rupture of membranes (disorder),C0729264,Lymphadenitis
Coronary Aneurysm,C0010051,Preterm premature rupture of membranes
Acute Erythroblastic Leukemia,C0023440,Coronary artery aneurysm
Albuminuria,C0001925,Erythroleukaemia
Stoma site haemorrhage,C3805015,Albuminuria
Colonic Pseudo-Obstruction,C0009377,Stoma site haemorrhage
Macular pigmentation,C3160840,Colonic pseudo-obstruction
Obstructed umbilical hernia,C0156133,Macular pigmentation
Glomerular vascular disorder,C0852683,"Umbilical hernia, obstructive"
Carotid Endarterectomy,C0014099,Glomerular vascular disorder
Oropharyngeal swelling,C0853908,Carotid endarterectomy
Administration of enema,C0014268,Oropharyngeal swelling
Quadriparesis,C0270790,Enema administration
Foreign-Body Reaction,C0016549,Quadriparesis
Injection site granuloma,C0085654,Foreign body reaction
Ulcerative gingivitis,C0239740,Injection site granuloma
Pituitary tumour removal,C0852713,Gingivitis ulcerative
Aldolase increased,C0854362,Pituitary tumour removal
Myoglobin urine present,C0853875,Aldolase increased
Benign neoplasm of middle ear,C0347213,Myoglobin urine present
Tympanic Membrane Perforation,C0206504,Benign middle ear neoplasm
Intervertebral disc annular tear,C1698507,Tympanic membrane perforation
Blood calcium abnormal,C0853772,Intervertebral disc annular tear
Eyelid skin dryness,C3203737,Blood calcium abnormal
Eye foreign bodies,C0015401,Eyelid skin dryness
Hypopyon,C0020641,Foreign body in eye
Ranula (disorder),C2242813,Hypopyon
Compulsive lip biting,C1735328,Ranula
JC virus test positive,C2609053,Compulsive lip biting
Perivascular dermatitis,C0743089,JC virus test positive
Antiphospholipid Syndrome,C0085278,Perivascular dermatitis
Thrombosis of subclavian vein,C0749087,Antiphospholipid syndrome
Traumatic subcutaneous emphysema,C0040799,Subclavian vein thrombosis
Lid lag,C0234664,Subcutaneous emphysema
Male Breast Disorders,C0553724,Lid lag
Slow response to stimuli,C0857502,Breast disorder male
Myoglobinuria,C0027080,Slow response to stimuli
Pancreatic carcinoma stage III,C1167722,Myoglobinuria
Stoma site reaction,C1142177,Pancreatic carcinoma stage III
Stress ulcer,C2741638,Stoma site reaction
Joint Instability,C0022410,Stress ulcer
"Pregnancy, Twin",C0152150,Joint instability
Pharyngotonsillitis,C0877148,Twin pregnancy
Melanoma recurrent,C0278884,Pharyngotonsillitis
"Glossitis, Benign Migratory",C0017677,Melanoma recurrent
Graft failure,C1262018,Tongue geographic
Compression of brain,C0009592,Transplant failure
Decreased peak expiratory flow rate,C0520843,Brain compression
Pulmonary hilar enlargement,C1698506,Peak expiratory flow rate decreased
Investigation abnormal,C0854407,Pulmonary hilar enlargement
Paranasal sinus discomfort,C0948596,Investigation abnormal
Hemoperitoneum,C0019065,Paranasal sinus discomfort
Prostatectomy,C0033573,Peritoneal haemorrhage
Rubber sensitivity,C0856604,Prostatectomy
Familial Mediterranean Fever,C0031069,Rubber sensitivity
Blood folate abnormal,C0853873,Familial mediterranean fever
Wernicke-Korsakoff Syndrome,C0349464,Blood folate abnormal
Lip pruritus,C2939021,Wernicke-Korsakoff syndrome
Wells syndrome,C0343101,Lip pruritus
Listeriosis,C0023860,Eosinophilic cellulitis
Pelvic abscess,C0030785,Listeriosis
Semen analysis abnormal,C2363829,Pelvic abscess
Polyp of gallbladder,C0262493,Semen analysis abnormal
Head Banging,C0018672,Gallbladder polyp
Rectal spasm,C1112789,Head banging
Acanthosis Nigricans,C0000889,Rectal spasm
Pale feces (finding),C0232720,Acanthosis nigricans
Pancreatic enzymes increased,C0549369,Faeces pale
Viral meningitis,C0025297,Pancreatic enzymes increased
Respiratory tract oedema,C2939062,Meningitis viral
"Myelitis, Transverse",C0026976,Respiratory tract oedema
Hypophysitis,C0342409,Myelitis transverse
"Lymphangioma, Cystic",C0206620,Hypophysitis
Acquired ventricular septal defect,C0853341,Cystic lymphangioma
ovarian neoplasm,C0919267,Ventricular septal defect acquired
Multiple System Atrophy,C0393571,Ovarian neoplasm
Dupuytren Contracture,C0013312,Multiple system atrophy
Penile Diseases,C0030846,Dupuytren's contracture
Perinuclear antineutrophil cytoplasmic antibody increased,C1168423,Penis disorder
Choroid Plexus Papilloma,C0205770,Antineutrophil cytoplasmic antibody increased
Ear congestion,C0849796,Choroid plexus papilloma
Blood testosterone free decreased,C1096126,Ear congestion
Azoospermia,C0004509,Blood testosterone free decreased
Viral haemorrhagic cystitis,C1167728,Azoospermia
Blood glucose measurement,C0392201,Viral haemorrhagic cystitis
Replacement of mitral valve (procedure),C0026268,Blood glucose
Upper respiratory tract irritation,C2939098,Mitral valve replacement
Injection site necrosis,C0151795,Upper respiratory tract irritation
Operation on pterygium,C0197269,Injection site erosion
Arterial restenosis,C0919884,Pterygium operation
Herpes simplex pneumonia,C0339975,Arterial restenosis
Ventilatory defect,C0231926,Herpes simplex pneumonia
Malignant neoplasm of testis,C0153594,Respiratory gas exchange disorder
Influenza virus test positive,C2939017,Testis cancer
Hypertrophy of salivary gland,C0020569,Influenza virus test positive
Anorectal operation,C0919721,Salivary gland enlargement
Penile operation,C0851684,Anorectal operation
Opportunistic Infections,C0029118,Penile operation
Injection site hypoaesthesia,C0860191,Opportunistic infection
Hemochromatosis,C0018995,Injection site hypoaesthesia
Stem cell transplant,C1504389,Haemochromatosis
Anorectal swelling,C3805026,Stem cell transplant
Incision site abscess,C0877568,Anorectal swelling
Incision site inflammation,C1611189,Incision site abscess
Guttate Psoriasis,C0343052,Incision site inflammation
Colonoscopy abnormal,C0730516,Guttate psoriasis
Encopresis (finding),C2945606,Colonoscopy abnormal
Antinuclear antibody negative,C0860794,Encopresis
Mouth Neoplasms,C0026640,Antinuclear antibody
Congenital anomaly of joint,C0521546,Oral neoplasm
Increased blood volume,C0085607,Congenital joint malformation
Food Poisoning,C0016479,Volume blood increased
Vaginal Fistula,C0042253,Food poisoning
Vaginal flatulence,C1535974,Vaginal fistula
Nail bed disorder,C2938897,Vaginal flatulence
Infected cyst,C1142249,Nail bed disorder
Vitamin D above reference range,C0919765,Infected cyst
Venous stenosis,C0340753,Vitamin D increased
Abscess of eye,C0392154,Venous stenosis
Infected fistula,C3267094,Eye abscess
Injection site laceration,C1868844,Infected fistula
Renal abscess,C0151465,Injection site laceration
Rheumatoid Factor Measurement,C0201660,Renal abscess
Erythrosis,C1112192,Rheumatoid factor
Narcolepsy,C0027404,Erythrosis
T-Cell Lymphoma,C0079772,Narcolepsy
Bacterial genital infection,C0729525,T-cell lymphoma
